Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
FLRT2	7.459607279067868	7.219824032233208	1.0497501592094869	2.0960462530129212e-14	2.1924242649337545e-12	TRUE
ISLR	20.05360857285556	7.2183513027786255	1.0266400395433288	2.762367848279892e-13	2.2365971678239525e-11	TRUE
VWA1	19.570017951464752	7.212124185053027	0.7954879751778421	4.153466665335393e-21	1.7803712700175885e-18	TRUE
WISP1	2.9157611604314497	7.185443992194663	1.853614516554107	2.6853852679387125e-5	2.6160965838862833e-4	TRUE
CLDN5	32.77836195462229	7.175333444750478	0.6524034730014304	2.1834397895865826e-8	5.26264357664303e-7	TRUE
TMEM47	15.418873531576965	7.152252469269652	1.0094550445275396	7.274106338198594e-14	6.571042919808243e-12	TRUE
HSPB2	15.46201480866324	7.148834510754456	0.8869422345661131	2.906443388128176e-17	5.938108309146734e-15	TRUE
ANGPTL2	24.359415057445908	7.133483395906933	0.901002793317251	2.605745869178181e-16	4.315470488341229e-14	TRUE
PDGFRL	21.685984945017605	7.131460516627696	0.9072791041319143	4.2030074794855564e-16	6.706711424017062e-14	TRUE
FAM162B	1.3311321979155908	7.0898403949971565	0.8473650461074836	3.0939072496065333e-5	2.9548233457251386e-4	TRUE
STC2	3.073734855884128	7.083059291657487	1.137571519151853	9.495851318611602e-5	7.75036258890362e-4	TRUE
IGFBP5	400.7290747438636	7.058206195819645	0.8577674739433281	7.10298101349158e-17	1.3271646832131575e-14	TRUE
SPRY4	11.78110060782981	7.052669096728082	0.9499649821886362	2.660027762521956e-15	3.50306427207786e-13	TRUE
COL21A1	9.081392912024565	7.043241765227506	1.0707662445829877	6.64412205729488e-13	4.874065513239039e-11	TRUE
LUM	497.8593006349183	7.02824300238537	1.252021175699295	6.54313502997303e-9	1.833839421669749e-7	TRUE
HOXC10	0.4585699844684861	7.017604663323703	1.388681607120332	0.017890094717732216	0.05906000613475445	FALSE
COL15A1	65.95217373802822	7.016859608002603	0.7498792193495618	1.7625097666665955e-21	7.863311430428255e-19	TRUE
ADRA2B	5.296271269132143	6.968343101749584	0.9886309106826082	7.050241195523586e-19	1.9027817626585326e-16	TRUE
TWIST1	10.26829686945302	6.929828695045601	1.034611540795179	3.214983661089247e-13	2.5384169571385206e-11	TRUE
TM4SF18	27.048669421173713	6.911207871197273	1.1203390725668796	1.1669079338523778e-10	5.001916537636634e-9	TRUE
CRTAC1	8.340868791455444	6.901324765499212	1.350911534921013	1.8379085585352034e-8	4.514440336869447e-7	TRUE
MXRA5	20.176154460478806	6.809185846471519	1.4172158802065766	5.508985910505061e-7	9.116725283084869e-6	TRUE
HEYL	1.0466002115324737	6.80851571218634	0.8502016390299599	0.004368509997286422	0.018936043207604336	TRUE
RP11-742B18.1	2.664612727290015	6.782544579568237	1.8253509192725301	2.3238772052623242e-5	2.3176222438065543e-4	TRUE
TSPAN11	5.2782296686742285	6.781871981365843	1.2493208424943087	8.659871604180348e-10	2.986016611025025e-8	TRUE
PALMD	26.756051796296827	6.78009213373439	0.857790451058262	2.9332481335925217e-16	4.785353540930307e-14	TRUE
ECSCR	53.406136614596605	6.779806569061706	0.7668498323740431	2.9805104619011237e-19	8.687591894349396e-17	TRUE
NR2F2-AS1	7.6248998534116526	6.779231991561843	1.0811203063215242	7.65723198551253e-12	4.42843249828808e-10	TRUE
PLAC9	104.8998612723235	6.767823553192865	0.6922473004816099	2.879778685434783e-23	1.8516129953614644e-20	TRUE
CCDC80	62.547151115852714	6.765089786901305	0.7474487503758698	3.537939379846013e-20	1.2474660126260274e-17	TRUE
MRGPRF	6.128608597345785	6.752890362770971	1.1100755126532045	1.389095733921027e-11	7.461184727087856e-10	TRUE
NNMT	272.3724608912486	6.725760674819745	0.7058553997506886	5.991578140146912e-22	2.8474323852554704e-19	TRUE
RAMP2	139.8239761469698	6.696320852308964	0.6731560529176378	6.5888950123947986e-24	4.966890822964231e-21	TRUE
PLVAP	156.75683535531485	6.687809668391369	0.6879025413261558	6.143321739223131e-23	3.62970693354478e-20	TRUE
BCL6B	2.658426145530447	6.665270150670838	1.092179772391288	2.9191285528058005e-4	0.0019926226891978384	TRUE
